Author,Article,Topic,Chair,Conference_edition,Conference_name,Reviewer1,Reviewer2,Opinion_Reviewer1,Opinion_Reviewer2,EventAssign,EventRev1,EventRev2
Santhosh Amilpur,Exploring variable-length features (motifs) for predicting binding sites through interpretable deep neural networks.,machine learning,Group_C,2021-106,Healthcare NLP Summit 2022,Munish Chauhan,Sharad Acharya,Description of Reviewer_1 for article: 6662063,Description of Reviewer_2 for article: 6662063,EventAssign_6662063,EventRev1_6662063,EventRev2_6662063
Alexander Dockhorn,Exception-Tolerant Hierarchical Knowledge Bases for Forward Model Learning.,natural language processing,Group_C,2021-13,Open Data Science Conference ,René Riedl,Mamta Rani,Description of Reviewer_1 for article: 7478917,Description of Reviewer_2 for article: 7478917,EventAssign_7478917,EventRev1_7478917,EventRev2_7478917
Andreas T. Ernst,Using Statistical Measures and Machine Learning for Graph Reduction to Solve Maximum Weight Clique Problems.,natural language processing,Group_C,2021-43,Healthcare NLP Summit 2022,Ping Yan,Hu Xiong,Description of Reviewer_1 for article: 7496704,Description of Reviewer_2 for article: 7496704,EventAssign_7496704,EventRev1_7496704,EventRev2_7496704
James Harold Davenport,Symbolic computation in software science.,natural language processing,Group_B,2019-90,Women in Data Science,Katsutoshi Yada,John F. Farrow,Description of Reviewer_1 for article: 8533539,Description of Reviewer_2 for article: 8533539,EventAssign_8533539,EventRev1_8533539,EventRev2_8533539
Colin Tattersall,CopperCore service integration.,machine learning,Group_A,2007-15, Gartner Data & Analytics Summit,Mohammad Nazir Ahmad,Thomas C. Shermer,Description of Reviewer_1 for article: 7730332,Description of Reviewer_2 for article: 7730332,EventAssign_7730332,EventRev1_7730332,EventRev2_7730332
Matthew K. H. Leung,Adaptive proportional delay differentiated services: characterization and performance evaluation.,databases,Group_A,2001-9,Healthcare NLP Summit 2022,Nebojsa Jojic,Anna Lisa Ferrara,Description of Reviewer_1 for article: 8174629,Description of Reviewer_2 for article: 8174629,EventAssign_8174629,EventRev1_8174629,EventRev2_8174629
Alexandra Siposová,On fuzzy solution of a linear optimization problem with max-aggregation function relation inequality constraints.,big data,Group_C,2018-269,Healthcare NLP Summit 2022,Marian Gheorghe 0001,Hao Ling,Description of Reviewer_1 for article: 7774521,Description of Reviewer_2 for article: 7774521,EventAssign_7774521,EventRev1_7774521,EventRev2_7774521
William Michael Landau,The jagstargets R package: a reproducible workflow framework for Bayesian data analysis with JAGS.,machine learning,Group_A,2021-6,Healthcare NLP Summit 2022,Henry Cohn,Xiwang Zhang,Description of Reviewer_1 for article: 7800157,Description of Reviewer_2 for article: 7800157,EventAssign_7800157,EventRev1_7800157,EventRev2_7800157
Emmanuel Reusens,Joint optimization of representation model and frame segmentation for generic video compression.,big data,Group_A,1995-46, Gartner Data & Analytics Summit,Jian-Sheng Fan,Jun Deguchi,Description of Reviewer_1 for article: 6710174,Description of Reviewer_2 for article: 6710174,EventAssign_6710174,EventRev1_6710174,EventRev2_6710174
Oleg A. Anenkhonov,The Influence of Region of Interest Heterogeneity on Classification Accuracy in Wetland Systems.,databases,Group_B,2019-11,Healthcare NLP Summit 2022,Don Towsley,Peter Haddawy,Description of Reviewer_1 for article: 6517983,Description of Reviewer_2 for article: 6517983,EventAssign_6517983,EventRev1_6517983,EventRev2_6517983
Roy F. Keller,On selective and repetitive constructs.,natural language processing,Group_A,1979-14,Women in Data Science,Lu Yu 0003,Huan Liu 0001,Description of Reviewer_1 for article: 6804007,Description of Reviewer_2 for article: 6804007,EventAssign_6804007,EventRev1_6804007,EventRev2_6804007
John F. Farrow,A Cognitive Process Model of Document Indexing.,big data,Group_C,1991-47, Gartner Data & Analytics Summit,S. Sreenadh,Lirong Liu,Description of Reviewer_1 for article: 6504290,Description of Reviewer_2 for article: 6504290,EventAssign_6504290,EventRev1_6504290,EventRev2_6504290
Francesco Caputo,Investigating the Users' Approach to ICT Platforms in the City Management.,big data,Group_B,2017-5,Open Data Science Conference ,Xin Feng,Thomas C. Shermer,Description of Reviewer_1 for article: 7642777,Description of Reviewer_2 for article: 7642777,EventAssign_7642777,EventRev1_7642777,EventRev2_7642777
József Solymosi,Crossing Patterns of Segments.,natural language processing,Group_B,2001-96,Women in Data Science,Michael A. Wolfe,José M. Giménez-García,Description of Reviewer_1 for article: 7581167,Description of Reviewer_2 for article: 7581167,EventAssign_7581167,EventRev1_7581167,EventRev2_7581167
Robert J. Rossheim,Report on proposed American standard flowchart symbols for information processing.,Knowledge Discovery,Group_A,1963-6,Healthcare NLP Summit 2022,James Harold Davenport,Robert Fitch,Description of Reviewer_1 for article: 7809584,Description of Reviewer_2 for article: 7809584,EventAssign_7809584,EventRev1_7809584,EventRev2_7809584
Yaonan Wang,Robust decentralized adaptive control for a class of uncertain neural networks with time-varying delays.,Knowledge Discovery,Group_B,2010-215,Healthcare NLP Summit 2022,Abdeldjalil Slama,Germano Resconi,Description of Reviewer_1 for article: 7361389,Description of Reviewer_2 for article: 7361389,EventAssign_7361389,EventRev1_7361389,EventRev2_7361389
Sara Mahdavi-Hezavehi,Uncertainty in Self-adaptive Systems: A Research Community Perspective.,natural language processing,Group_C,2020-15,Open Data Science Conference ,Alexandra A. Vetrova,Juan Miguel Medina 0002,Description of Reviewer_1 for article: 6230240,Description of Reviewer_2 for article: 6230240,EventAssign_6230240,EventRev1_6230240,EventRev2_6230240
Cindy L. Bethel,Non-facial and non-verbal affective expression for appearance-constrained robots used in victim management.,Knowledge Discovery,Group_A,2010-1,Open Data Science Conference ,Bryan Houliston,Saehwan Lee,Description of Reviewer_1 for article: 7836435,Description of Reviewer_2 for article: 7836435,EventAssign_7836435,EventRev1_7836435,EventRev2_7836435
Liusheng Huang,Cryptanalysis of a certificateless signature scheme without pairings.,natural language processing,Group_C,2013-26,Healthcare NLP Summit 2022,Seonah Lee,Munchurl Kim,Description of Reviewer_1 for article: 6365064,Description of Reviewer_2 for article: 6365064,EventAssign_6365064,EventRev1_6365064,EventRev2_6365064
Jiangtao Yuan,An Ideal Compartmented Secret Sharing Scheme Based on Linear Homogeneous Recurrence Relations.,big data,Group_C,2020-2020,Open Data Science Conference ,Yiyu Yao,Hugues Déprés,Description of Reviewer_1 for article: 8288402,Description of Reviewer_2 for article: 8288402,EventAssign_8288402,EventRev1_8288402,EventRev2_8288402
Gary Gordon,Trees with the same degree sequence and path numbers.,databases,Group_A,1995-147,Healthcare NLP Summit 2022,Bo Wu 0006,Katsutoshi Yada,Description of Reviewer_1 for article: 8481239,Description of Reviewer_2 for article: 8481239,EventAssign_8481239,EventRev1_8481239,EventRev2_8481239
Anna L. Cox,Short links and tiny keyboards: A systematic exploration of design trade-offs in link shortening services.,Knowledge Discovery,Group_B,2016-96,Women in Data Science,Thiago Alves de Queiroz,Hoang Viet Long,Description of Reviewer_1 for article: 7483276,Description of Reviewer_2 for article: 7483276,EventAssign_7483276,EventRev1_7483276,EventRev2_7483276
Zaifang Zhang,Risk prioritization in failure mode and effects analysis under uncertainty.,natural language processing,Group_C,2011-38, Gartner Data & Analytics Summit,Dongfang Yang,Enrique Personal,Description of Reviewer_1 for article: 6330723,Description of Reviewer_2 for article: 6330723,EventAssign_6330723,EventRev1_6330723,EventRev2_6330723
Aart A. J. Matsinger,How To Make Intuitive Testing More Systematic.,machine learning,Group_C,1995-12, Gartner Data & Analytics Summit,Signy Sheldon,Kwabena A. Narh,Description of Reviewer_1 for article: 6426475,Description of Reviewer_2 for article: 6426475,EventAssign_6426475,EventRev1_6426475,EventRev2_6426475
